Arrondissement,Commerces,Culture,Enseignement,Environnement,Qualité de vie,Santé,Sports et loisirs,Sécurité,Transports,Etiquette_GES,Etiquette_DPE,nombre_de_bars,nombre_de_club,Valeur fonciere,Surface reelle bati,Nombre pieces principales,Adresse,prix_m2,Appartement,Maison,lat,long
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,2444000.0,133.0,6.0,19 RUE DE LA SOURDIERE 75001,18375.94,1,0,48.866202,2.332343
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1300000.0,71.0,3.0,15 RUE DES PETITS CHAMPS 75001,18309.86,1,0,48.866412,2.338091
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,820000.0,45.0,3.0,3 IMP GOMBOUST 75001,18222.22,1,0,48.867616,2.331275
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,510000.0,28.0,1.0,22 AV DE L OPERA 75001,18214.29,1,0,48.866134,2.334474
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1200000.0,66.0,2.0,217 RUE SAINT-HONORE 75001,18181.82,1,0,48.865575,2.33049
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1786950.0,99.0,5.0,138 RUE DE RIVOLI 75001,18050.0,1,0,48.860244,2.343247
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,252176.0,14.0,1.0,1 RUE DES PYRAMIDES 75001,18012.57,1,0,48.864276,2.332325
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,449500.0,25.0,2.0,2 RUE CROIX DES PETITS CHAMPS 75001,17980.0,1,0,48.862379,2.339402
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,3800000.0,213.0,7.0,158 RUE DE RIVOLI 75001,17840.38,1,0,48.86129,2.340152
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,160000.0,9.0,1.0,17 PL DU MARCHE ST HONORE 75001,17777.78,1,0,48.866574,2.33113
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1420130.0,80.0,3.0,6 RUE DU MARCHE ST HONORE 75001,17751.62,1,0,48.865915,2.331177
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1413333.0,80.0,3.0,233 RUE SAINT-HONORE 75001,17666.66,1,0,48.866312,2.328993
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,966000.0,55.0,3.0,7 RUE SAINT-HYACINTHE 75001,17563.64,1,0,48.866055,2.331381
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1490350.0,85.0,4.0,17 RUE DU LOUVRE 75001,17533.53,1,0,48.864126,2.34232
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,435000.0,25.0,2.0,12 RUE DE LA FERRONNERIE 75001,17400.0,1,0,48.86041,2.346793
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,330000.0,19.0,1.0,217 RUE SAINT-HONORE 75001,17368.42,1,0,48.865575,2.33049
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,450000.0,26.0,1.0,46 RUE DE RICHELIEU 75001,17307.69,1,0,48.866081,2.337155
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,432000.0,25.0,2.0,14 RUE BERTIN POIREE 75001,17280.0,1,0,48.858808,2.344937
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1900000.0,110.0,3.0,30 RUE DE LA GRANDE TRUANDERIE 75001,17272.73,1,0,48.863033,2.348264
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,138179.0,8.0,1.0,5 RUE JEAN JACQUES ROUSSEAU 75001,17272.38,1,0,48.862289,2.339991
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,2000000.0,116.0,4.0,53 RUE DES PETITS CHAMPS 75001,17241.38,1,0,48.867152,2.334921
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,757745.6,44.0,2.0,1 RUE COQ HERON 75001,17221.49,1,0,48.864195,2.341896
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1815000.0,106.0,4.0,64 RUE JEAN JACQUES ROUSSEAU 75001,17122.64,1,0,48.864158,2.343886
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,2750000.0,161.0,5.0,210 RUE DE RIVOLI 75001,17080.75,1,0,48.864573,2.330009
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1191500.0,70.0,3.0,8 RUE BAILLEUL 75001,17021.43,1,0,48.861026,2.3417
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,2260000.0,133.0,5.0,38 RUE CROIX DES PETITS CHAMPS 75001,16992.48,1,0,48.864371,2.340372
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,2480000.0,146.0,4.0,12 RUE DE LA FERRONNERIE 75001,16986.3,1,0,48.86041,2.346793
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,2400000.0,142.0,4.0,23 RUE DU LOUVRE 75001,16901.41,1,0,48.865003,2.342775
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1480000.0,88.0,3.0,25 RUE DU MONT-THABOR 75001,16818.18,1,0,48.866771,2.325128
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1830000.0,109.0,4.0,30 RUE MONTMARTRE 75001,16788.99,1,0,48.864355,2.345481
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1120000.0,67.0,3.0,27 RUE ETIENNE MARCEL 75001,16716.42,1,0,48.864146,2.347395
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,284000.0,17.0,1.0,14 RUE DE TURBIGO 75001,16705.88,1,0,48.863685,2.348719
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1402600.0,84.0,4.0,25 BD DE SEBASTOPOL 75001,16697.62,1,0,48.860217,2.348934
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1151589.0,69.0,3.0,3 RUE DU VINGT-NEUF JUILLET 75001,16689.7,1,0,48.864844,2.330317
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,400000.0,24.0,2.0,6 RUE DU MONT-THABOR 75001,16666.67,1,0,48.865544,2.329258
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1896800.0,114.0,4.0,21 RUE DANIELLE CASANOVA 75001,16638.6,1,0,48.867867,2.331849
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1295000.0,78.0,4.0,217 RUE SAINT-HONORE 75001,16602.56,1,0,48.865575,2.33049
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,415000.0,25.0,1.0,41 RUE COQUILLIERE 75001,16600.0,1,0,48.864548,2.340728
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,945000.0,57.0,1.0,4 RUE LA VRILLIERE 75001,16578.95,1,0,48.865363,2.340469
